login_hour,session_duration,data_download_mb,transaction_amount,access_count,privilege_level,device_change,location_change,failed_logins,is_off_hours,login_frequency,risk_score,hour_of_day,day_of_week,is_weekend,data_intensity,access_rate,role_encoded,is_attack,attack_class
0.47826087,0.152882206,0.0,0.000302,0.013513514,2,0,0,0.0,0,1.0,0.1271,11,3,0,0.0,0.000224014,1,0,3
0.391304348,0.130325815,2e-05,9.4e-05,0.486486486,5,0,0,0.105263158,0,0.333333333,0.4131,9,0,0,3.77e-07,0.009433962,2,1,4
0.173913043,1.0,0.06936,0.000714,0.121621622,1,0,1,0.0,1,0.0,0.6785,4,6,1,0.0001734,0.0003125,2,1,2
0.695652174,0.065162907,0.00018,0.001894,0.081081081,2,0,0,0.0,0,0.333333333,0.0382,16,6,1,6.67e-06,0.00308642,2,0,3
0.347826087,0.13283208,0.00032,0.00088,0.040540541,1,0,0,0.0,0,0.0,0.0644,8,6,1,5.93e-06,0.000771605,3,0,3
0.739130435,0.122807018,0.0,0.000342,0.067567568,1,0,0,0.0,0,0.0,0.0737,17,5,1,0.0,0.001388889,2,0,3
0.739130435,0.130325815,0.00014,0.000246,0.040540541,1,0,0,0.0,0,0.666666667,0.0483,17,6,1,2.64e-06,0.000786164,2,0,3
0.173913043,0.002506266,0.00024,0.000954,1.0,1,1,1,0.473684211,1,0.0,0.9732,4,3,0,0.00012,0.513888889,2,1,1
0.434782609,0.175438596,4e-05,0.000578,0.108108108,1,0,0,0.0,0,0.0,0.1842,10,4,0,5.63e-07,0.001564945,4,0,3
0.347826087,0.117794486,6e-05,0.001108,0.081081081,1,0,0,0.0,0,1.0,0.0796,8,2,0,1.25e-06,0.001736111,2,0,3
0.608695652,0.052631579,0.00034,0.000256,0.081081081,1,0,0,0.0,0,1.0,0.0255,14,3,0,1.55e-05,0.003787879,2,0,3
0.695652174,0.142857143,0.00034,0.000968,0.108108108,1,0,0,0.0,0,0.666666667,0.1629,16,6,1,5.86e-06,0.001915709,1,0,3
0.782608696,0.155388471,0.00016,0.002182,0.067567568,2,0,0,0.0,0,0.333333333,0.0679,18,3,0,2.54e-06,0.001102293,2,0,3
0.130434783,0.0,0.0,0.000426,0.756756757,1,1,1,0.473684211,1,1.0,0.964,3,5,1,0.0,0.777777778,2,1,1
0.565217391,0.107769424,0.00072,0.002932,0.081081081,1,0,0,0.0,0,0.666666667,0.0397,13,0,0,1.64e-05,0.001893939,2,0,3
0.652173913,0.090225564,6e-05,6.2e-05,0.027027027,3,0,0,0.0,0,0.333333333,0.0342,15,1,0,1.62e-06,0.000750751,2,0,3
0.782608696,0.137844612,0.00026,9.8e-05,0.148648649,1,1,1,0.0,0,0.666666667,0.2275,18,0,0,4.64e-06,0.002728175,2,1,0
0.434782609,0.120300752,0.00014,0.001196,0.067567568,1,0,0,0.0,0,0.666666667,0.0688,10,3,0,2.86e-06,0.001417234,2,0,3
0.565217391,0.055137845,0.00036,0.000566,0.054054054,3,0,0,0.0,0,0.333333333,0.0274,13,1,0,1.57e-05,0.002415459,2,0,3
0.652173913,0.097744361,2e-05,0.000598,0.054054054,1,0,0,0.0,0,0.666666667,0.0723,15,0,0,5e-07,0.001388889,2,0,3
0.565217391,0.065162907,0.00018,0.00024,0.067567568,1,0,0,0.0,0,0.333333333,0.0233,13,2,0,6.67e-06,0.002572016,2,0,3
0.347826087,0.115288221,0.00028,0.00179,0.027027027,1,0,0,0.0,0,0.333333333,0.0515,8,5,1,5.96e-06,0.000591017,3,0,3
0.782608696,0.087719298,0.00014,0.000632,0.054054054,2,0,0,0.0,0,1.0,0.1774,18,2,0,3.89e-06,0.00154321,4,0,3
0.47826087,0.002506266,0.00024,0.001374,0.067567568,1,0,0,0.0,0,1.0,0.1526,11,5,1,0.00012,0.034722222,1,0,3
0.565217391,0.160401003,0.00022,0.0008,0.027027027,2,0,0,0.0,0,0.333333333,0.0584,13,3,0,3.38e-06,0.00042735,2,0,3
0.347826087,0.087719298,2e-05,0.000486,0.094594595,1,0,0,0.0,0,1.0,0.1602,8,1,0,5.56e-07,0.002700617,1,0,3
0.47826087,0.102756892,2e-05,0.000586,0.027027027,1,0,0,0.0,0,1.0,0.1478,11,5,1,4.76e-07,0.000661376,1,0,3
0.391304348,0.130325815,0.0,0.0002,0.054054054,1,0,0,0.0,0,0.0,0.0732,9,1,0,0.0,0.001048218,2,0,3
0.434782609,0.152882206,6e-05,8.8e-05,0.108108108,5,0,0,0.0,0,0.666666667,0.3961,10,6,1,9.68e-07,0.001792115,2,0,3
0.608695652,0.122807018,0.0001,0.00161,0.432432432,4,0,0,0.210526316,0,0.0,0.3811,14,2,0,2e-06,0.008888889,2,1,4
0.347826087,0.090225564,2e-05,0.000818,0.135135135,1,0,0,0.0,0,0.0,0.0418,8,4,0,5.41e-07,0.003753754,2,0,3
0.347826087,0.122807018,6e-05,0.00127,0.081081081,5,0,0,0.0,0,0.666666667,0.5203,8,1,0,1.2e-06,0.001666667,2,0,3
0.652173913,0.082706767,0.00018,0.00021,0.040540541,5,0,0,0.0,0,1.0,0.5109,15,0,0,5.29e-06,0.00122549,1,0,3
0.391304348,0.080200501,0.0001,0.0005,0.067567568,2,0,0,0.0,0,0.0,0.0664,9,4,0,3.03e-06,0.002104377,2,0,3
0.782608696,0.122807018,0.0005,0.000312,0.054054054,3,0,0,0.0,0,0.0,0.0718,18,6,1,1e-05,0.001111111,3,0,3
0.47826087,0.067669173,8e-05,0.000426,0.040540541,1,0,0,0.0,0,0.0,0.2248,11,1,0,2.86e-06,0.001488095,4,0,3
0.565217391,0.105263158,0.00024,0.00099,0.040540541,1,0,0,0.0,0,0.666666667,0.0247,13,0,0,5.58e-06,0.000968992,2,0,3
0.782608696,0.095238095,4e-05,0.000726,0.054054054,1,0,0,0.0,0,0.0,0.0313,18,0,0,1.03e-06,0.001424501,3,0,3
0.130434783,0.002506266,4e-05,0.000914,0.581081081,3,1,1,0.421052632,1,0.666666667,1.0,3,4,0,2e-05,0.298611111,0,1,1
0.47826087,0.102756892,0.00024,0.00271,0.081081081,4,0,0,0.0,0,1.0,0.4093,11,4,0,5.71e-06,0.001984127,2,0,3
0.739130435,0.070175439,0.0001,0.001726,0.175675676,2,1,1,0.0,0,0.0,0.2442,17,2,0,3.45e-06,0.006226054,2,1,0
0.695652174,0.040100251,8e-05,0.001492,0.067567568,2,0,0,0.0,0,0.0,0.0736,16,1,0,4.71e-06,0.004084967,2,0,3
0.739130435,0.05764411,0.00018,0.000534,0.094594595,2,0,0,0.0,0,0.666666667,0.0529,17,2,0,7.5e-06,0.004050926,2,0,3
0.347826087,0.152882206,0.00022,1.6e-05,0.067567568,2,0,0,0.0,0,0.333333333,0.0312,8,0,0,3.55e-06,0.001120072,2,0,3
0.652173913,0.060150376,2e-05,0.001144,0.040540541,2,0,0,0.0,0,0.0,0.1258,15,0,0,8e-07,0.001666667,1,0,3
0.043478261,0.022556391,0.04432,0.000382,0.121621622,2,0,1,0.0,1,0.333333333,0.7005,1,2,0,0.004432,0.0125,2,1,2
0.608695652,0.140350877,0.0002,0.001584,0.081081081,3,0,0,0.0,0,0.333333333,0.0625,14,3,0,3.51e-06,0.001461988,2,0,3
0.47826087,0.15037594,0.00014,0.00098,0.094594595,2,0,0,0.0,0,0.666666667,0.0288,11,1,0,2.3e-06,0.001593807,2,0,3
0.565217391,0.172932331,0.0001,0.000276,0.081081081,1,0,0,0.0,0,0.666666667,0.0301,13,1,0,1.43e-06,0.001190476,2,0,3
0.391304348,0.117794486,0.0,0.002002,0.108108108,1,0,0,0.0,0,1.0,0.0568,9,3,0,0.0,0.002314815,3,0,3
0.652173913,0.105263158,0.0004,0.000896,0.081081081,1,0,0,0.0,0,0.333333333,0.0601,15,1,0,9.3e-06,0.001937984,2,0,3
0.391304348,0.07518797,2e-05,9.8e-05,0.081081081,3,0,0,0.0,0,1.0,0.0665,9,5,1,6.45e-07,0.002688172,2,0,3
0.608695652,0.077694236,0.00012,0.000902,0.067567568,1,0,0,0.0,0,0.0,0.0277,14,0,0,3.75e-06,0.002170139,2,0,3
0.565217391,0.097744361,0.00054,0.000254,0.108108108,1,0,0,0.0,0,0.333333333,0.0744,13,1,0,1.35e-05,0.002777778,2,0,3
0.695652174,0.080200501,2e-05,0.001082,0.5,5,0,0,0.157894737,0,0.666666667,0.5249,16,3,0,6.06e-07,0.015572391,2,1,4
0.434782609,0.025062657,0.00026,0.000274,0.094594595,1,0,0,0.0,0,0.333333333,0.0755,10,5,1,2.36e-05,0.008838384,2,0,3
0.608695652,0.122807018,0.0001,0.000172,0.054054054,3,0,0,0.0,0,0.0,0.0246,14,3,0,2e-06,0.001111111,2,0,3
0.47826087,0.07518797,6e-05,0.000192,0.040540541,2,0,0,0.0,0,0.333333333,0.0631,11,6,1,1.94e-06,0.001344086,2,0,3
0.130434783,0.005012531,0.00018,0.000108,0.554054054,2,1,1,0.263157895,1,0.0,0.7332,3,2,0,6e-05,0.189814815,4,1,1
